file,label
m1_pp.jpg,1
m1_2_pp.jpg,1
m2_pp.jpg,0
m3_pp.jpg,0
m4_pp.jpg,0
m5_pp.jpg,0
m8_pp.jpg,1
m8_2_pp.jpg,1
m9_pp.jpg,0
m10_pp.jpg,0
m11_pp.jpg,0
m12_pp.jpg,0
m13_pp.jpg,0
m14_pp.jpg,0
m15_pp.jpg,0
m16_pp.jpg,1
m16_2_pp.jpg,1
m17_pp.jpg,1
m19_pp.jpg,0
m20_pp.jpg,1
m20_2_pp.jpg,1
m22_pp.jpg,0
m27_pp.jpg,1
m28_pp.jpg,0
m30_pp.jpg,0
m31_pp.jpg,0
m32_pp.jpg,0
m33_pp.jpg,0
m42_pp.jpg,1
m43_pp.jpg,1
m45_pp.jpg,0
m46_pp.jpg,0
m49_pp.jpg,0
m51_pp.jpg,0
m53_pp.jpg,0
m54_pp.jpg,0
m56_pp.jpg,0
m57_pp.jpg,1
m58_pp.jpg,0
m59_pp.jpg,0
m60_pp.jpg,0
m61_pp.jpg,0
m62_pp.jpg,0
m63_pp.jpg,0
m64_pp.jpg,0
m65_pp.jpg,0
m66_pp.jpg,0
m68_pp.jpg,0
m69_pp.jpg,0
m70_pp.jpg,0
m71_pp.jpg,0
m72_pp.jpg,0
m74_pp.jpg,0
m75_pp.jpg,0
m76_pp.jpg,1
m77_pp.jpg,0
m78_pp.jpg,1
m79_pp.jpg,0
m80_pp.jpg,0
m81_pp.jpg,0
m82_pp.jpg,0
m83_pp.jpg,0
m84_pp.jpg,0
m85_pp.jpg,0
m86_pp.jpg,0
m87_pp.jpg,0
m88_pp.jpg,0
m89_pp.jpg,0
m90_pp.jpg,0
m91_pp.jpg,0
m92_pp.jpg,0
m94_pp.jpg,0
m95_pp.jpg,0
m96_pp.jpg,0
m98_pp.jpg,0
m99_pp.jpg,0
m100_pp.jpg,0
m101_pp.jpg,0
m102_pp.jpg,0
m104_pp.jpg,0
m105_pp.jpg,0
m106_pp.jpg,0
m107_pp.jpg,0
m109_pp.jpg,0
m110_pp.jpg,0
